Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,HELL PIGS,38:31,Rakan,1,3,12
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,27:38,Rakan,0,2,8
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,36:46,Rakan,3,8,19
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,40:03,Leona,0,8,10
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,23:40,Ashe,0,4,3
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,Frank Esports,24:07,Rell,0,5,4
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,30:08,Rell,2,3,16
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:25,Renata Glasc,0,3,3
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,26:13,Rell,0,4,19
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,34:01,Lulu,0,2,4
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,28:11,Nautilus,0,4,5
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,25:27,Nautilus,1,6,5
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,24:04,Karma,1,0,15
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,28:32,Braum,0,3,3
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,24:53,Leona,0,3,3
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Blue,CTBC Flying Oyster,33:58,Lulu,0,4,8
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,32:46,Ashe,1,3,10
2023-02-19,PCS PCS 2023 Spring,13.3,Win,Blue,Dewish Team,29:59,Ashe,1,4,17
