Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,PSG Talon,37:51,Zeri,1,5,3
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,PSG Talon,36:53,Kai'Sa,4,3,8
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Red,PSG Talon,30:09,Tristana,1,2,1
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,26:08,Samira,13,1,5
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,26:54,Kai'Sa,5,1,6
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Chiefs Esports Club,24:32,Xayah,4,0,3
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Chiefs Esports Club,41:25,Zeri,8,4,4
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Blue,Frank Esports,34:43,Kai'Sa,5,1,5
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Red,HELL PIGS,48:46,Xayah,7,6,10
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,31:12,Varus,1,5,1
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:15,Samira,4,2,5
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,42:11,Kai'Sa,0,1,4
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,36:52,Kai'Sa,9,0,1
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,40:03,Xayah,5,5,17
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,28:58,Xayah,6,3,10
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,24:56,Xayah,2,2,0
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,35:01,Kog'Maw,2,1,5
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,25:11,Aphelios,2,2,1
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:44,Kai'Sa,6,1,5
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,31:00,Ziggs,0,2,0
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:21,Kai'Sa,11,1,6
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,25:54,Aphelios,4,0,5
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,42:29,Ashe,0,5,8
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,35:52,Kai'Sa,5,5,2
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:53,Ezreal,4,0,6
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,31:30,Zeri,1,2,2
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,28:18,Lucian,5,0,13
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,40:15,Xayah,2,2,2
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,37:34,Zeri,7,0,4
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,30:46,Aphelios,1,4,4
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Team Bliss,24:13,Xayah,8,0,4
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Team Bliss,29:37,Xayah,12,3,8
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Team Bliss,33:34,Zeri,9,2,12
2023-03-12,PCS PCS 2023 Spring,13.4,Loss,Blue,Beyond Gaming,29:39,Lucian,1,4,3
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Blue,HELL PIGS,27:02,Veigar,6,2,3
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Blue,Dewish Team,25:45,Aphelios,6,1,9
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,PSG Talon,52:10,Xayah,9,4,8
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Blue,CTBC Flying Oyster,33:58,Zeri,2,2,6
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,32:46,Ezreal,5,4,3
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,Frank Esports,37:29,Ashe,0,5,8
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,Impunity,36:33,Caitlyn,4,3,5
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Red,Beyond Gaming,39:55,Lucian,4,1,4
2023-02-24,PCS PCS 2023 Spring,13.3,Win,Blue,J Team,29:29,Zeri,7,0,7
2023-02-19,PCS PCS 2023 Spring,13.3,Win,Blue,Dewish Team,29:59,Varus,6,2,9
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,33:03,Caitlyn,0,5,2
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Blue,Frank Esports,31:51,Caitlyn,4,1,2
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Red,HELL PIGS,29:50,Varus,0,4,4
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,40:57,Ziggs,3,4,2
