Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Beyond Gaming,30:13,Renekton,3,3,1
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Beyond Gaming,34:43,Jax,4,2,4
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Beyond Gaming,34:46,Gragas,0,5,4
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,28:25,Jax,4,3,9
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Red,PSG Talon,34:13,Rumble,3,2,7
2023-08-04,PCS PCS 2023 Summer,13.13,Win,Red,HELL PIGS,21:32,Rumble,3,2,5
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Impunity,24:08,Gragas,5,0,3
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,33:60,Rumble,1,7,4
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Beyond Gaming,26:49,Gangplank,3,1,3
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,CTBC Flying Oyster,37:38,Gragas,4,2,8
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,23:40,Ornn,5,1,7
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,24:56,Rumble,2,0,8
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,23:39,Gragas,0,2,7
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,21:43,Jayce,2,1,3
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,35:59,Gragas,3,3,6
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Deep Cross Gaming,31:00,Gragas,1,0,8
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,CTBC Flying Oyster,37:55,Gwen,2,4,5
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,25:27,Gangplank,7,0,7
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,30:41,Jax,1,4,0
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,HELL PIGS,23:23,Gragas,8,0,7
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:60,Gragas,2,1,6
