Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,24:15,Braum,3,3,3
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,24:35,Nautilus,1,7,4
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,36:46,Rell,2,6,19
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:07,Alistar,0,4,10
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,21:43,Alistar,0,7,5
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Blue,Impunity,39:18,Thresh,0,4,19
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,23:05,Maokai,0,4,0
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,21:43,Pyke,0,5,2
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,23:44,Milio,0,5,1
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,24:19,Rakan,0,5,1
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,HELL PIGS,38:41,Rakan,0,5,7
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,24:21,Gragas,0,2,2
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,West Point Esports Philippines,24:04,Blitzcrank,0,5,3
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,Impunity,26:00,Nautilus,0,4,4
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,23:54,Rakan,0,4,0
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Blue,Frank Esports,28:11,Alistar,0,3,3
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,Deep Cross Gaming,25:45,Thresh,1,4,6
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Red,J Team,29:24,Lulu,2,3,7
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Red,PSG Talon,33:02,Galio,3,5,7
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Blue,CTBC Flying Oyster,26:55,Leona,1,4,4
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,Impunity,25:30,Leona,1,5,7
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Red,SEM9 WPE,23:29,Nautilus,0,0,15
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Blue,HELL PIGS,31:20,Nautilus,2,3,16
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,Beyond Gaming,32:48,Annie,0,4,1
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Red,Deep Cross Gaming,29:59,Leona,0,7,2
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,Frank Esports,25:42,Braum,1,3,4
2023-02-17,PCS PCS 2023 Spring,13.3,Loss,Red,HELL PIGS,41:56,Lulu,0,2,10
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,24:13,Lulu,0,5,4
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Red,Beyond Gaming,27:04,Braum,1,8,4
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Blue,PSG Talon,24:35,Yuumi,1,4,4
2023-02-05,PCS PCS 2023 Spring,13.1,Win,Red,SEM9 WPE,37:29,Pyke,5,3,15
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Blue,J Team,26:46,Yuumi,0,4,4
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Blue,Impunity,26:57,Nami,0,5,7
