Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,PSG Talon,32:18,Ivern,2,2,5
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,27:38,Poppy,0,2,4
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,36:52,Sejuani,2,1,4
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,37:38,Vi,0,4,4
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,31:32,Vi,3,6,3
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,24:38,Viego,3,0,6
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:05,Vi,3,0,6
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,25:11,Vi,2,1,10
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:59,Rell,1,3,4
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,34:01,Poppy,3,3,5
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,37:55,Maokai,3,2,5
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,37:49,Sejuani,1,2,10
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:24,Vi,2,2,9
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,48:18,Maokai,3,3,14
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,19:33,Maokai,2,1,9
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,28:38,Viego,0,3,1
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,31:55,Viego,5,4,3
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,32:14,Viego,1,3,2
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,24:10,Elise,7,3,2
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,46:01,Sejuani,0,4,5
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,PSG Talon,39:11,Viego,1,3,6
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,PSG Talon,38:36,Maokai,0,3,7
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,37:41,Lee Sin,1,4,3
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,30:52,Lee Sin,3,4,0
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Frank Esports,35:41,Vi,2,3,4
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Frank Esports,38:60,Viego,5,1,12
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,29:06,Vi,3,1,7
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,33:53,Lee Sin,5,6,4
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,26:29,Elise,0,4,6
2023-03-23,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Chiefs Esports Club,27:47,Elise,3,4,7
2023-03-23,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Chiefs Esports Club,28:30,Lee Sin,4,4,13
2023-03-23,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Chiefs Esports Club,24:40,Vi,3,2,11
2023-03-12,PCS PCS 2023 Spring,13.4,Loss,Red,Frank Esports,34:03,Vi,0,4,5
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Red,Beyond Gaming,36:06,Wukong,0,2,5
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Blue,J Team,30:50,Sejuani,0,0,6
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,Frank Esports,32:27,Vi,0,4,4
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Red,Deep Cross Gaming,33:58,Vi,1,4,1
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Red,Dewish Team,26:55,Nidalee,3,3,13
2023-03-03,PCS PCS 2023 Spring,13.4,Win,Blue,HELL PIGS,26:05,Vi,4,3,13
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,PSG Talon,38:37,Sejuani,0,4,2
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Blue,SEM9 WPE,25:09,Maokai,2,0,13
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Blue,Impunity,38:09,Wukong,1,2,6
2023-02-19,PCS PCS 2023 Spring,13.3,Win,Red,Frank Esports,35:37,Vi,0,2,10
2023-02-18,PCS PCS 2023 Spring,13.3,Win,Blue,J Team,30:23,Wukong,4,2,9
2023-02-17,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,34:40,Sejuani,1,1,3
2023-02-12,PCS PCS 2023 Spring,13.1,Win,Red,Dewish Team,24:13,Wukong,6,1,9
2023-02-11,PCS PCS 2023 Spring,13.1,Win,Red,Deep Cross Gaming,40:57,Sejuani,8,2,7
2023-02-10,PCS PCS 2023 Spring,13.1,Win,Red,Impunity,34:39,Vi,6,3,8
2023-02-05,PCS PCS 2023 Spring,13.1,Win,Blue,HELL PIGS,27:44,Vi,0,1,9
2023-02-04,PCS PCS 2023 Spring,13.1,Win,Red,SEM9 WPE,23:41,Vi,5,2,14
