Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Blue,West Point Esports Philippines,38:31,Sejuani,1,1,7
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Red,Impunity,26:48,Sejuani,1,1,8
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,29:40,Poppy,2,5,0
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,36:07,Sejuani,1,1,11
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,36:37,Maokai,0,1,7
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,24:38,Sejuani,0,2,1
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Red,West Point Esports Philippines,30:08,Vi,3,6,4
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,29:04,Nautilus,3,2,14
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,36:54,Vi,0,3,4
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,24:36,Fiddlesticks,1,4,1
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,38:41,Maokai,1,1,14
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,25:54,Neeko,0,3,1
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,32:05,Poppy,1,6,6
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,23:23,Sejuani,0,6,2
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,19:33,Vi,0,3,0
