Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:15,Sejuani,2,1,8
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,42:11,Nocturne,2,3,6
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,36:52,Vi,1,1,9
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,40:03,Maokai,4,2,19
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,28:58,Maokai,3,2,12
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,24:56,Ivern,0,3,2
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,35:01,Sejuani,0,2,9
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,25:11,Sejuani,1,2,4
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:44,Ivern,2,1,18
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,31:00,Maokai,0,1,0
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:21,Maokai,2,1,9
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,25:54,Ivern,0,0,10
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,42:29,Sejuani,1,3,10
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,35:52,Poppy,1,3,4
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:53,Sejuani,2,1,12
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,31:30,Wukong,1,2,2
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,28:18,Vi,4,2,11
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,40:15,Xin Zhao,3,3,2
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,37:34,Sejuani,1,0,9
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,30:46,Lee Sin,4,4,1
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Team Bliss,24:13,Vi,3,3,8
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Team Bliss,29:37,Lee Sin,6,3,12
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Team Bliss,33:34,Wukong,3,2,11
2023-03-12,PCS PCS 2023 Spring,13.4,Loss,Blue,Beyond Gaming,29:39,Lee Sin,1,4,1
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Blue,HELL PIGS,27:02,Sejuani,2,0,14
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Blue,Dewish Team,25:45,Wukong,4,3,10
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,PSG Talon,52:10,Viego,7,4,9
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Blue,CTBC Flying Oyster,33:58,Lee Sin,2,2,5
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,32:46,Wukong,2,2,6
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,Frank Esports,37:29,Wukong,1,2,5
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,Impunity,36:33,Wukong,4,3,7
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Red,Beyond Gaming,39:55,Wukong,3,1,8
2023-02-24,PCS PCS 2023 Spring,13.3,Win,Blue,J Team,29:29,Vi,5,0,7
2023-02-19,PCS PCS 2023 Spring,13.3,Win,Blue,Dewish Team,29:59,Sejuani,4,1,17
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,33:03,Sejuani,0,3,3
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Blue,Frank Esports,31:51,Wukong,1,1,5
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Red,HELL PIGS,29:50,Elise,1,3,3
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,40:57,Vi,1,5,3
2023-02-10,PCS PCS 2023 Spring,13.1,Win,Red,SEM9 WPE,32:08,Wukong,1,2,9
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Red,Impunity,29:25,Vi,2,4,3
2023-02-04,PCS PCS 2023 Spring,13.1,Win,Blue,Beyond Gaming,34:14,Wukong,0,1,9
2023-02-03,PCS PCS 2023 Spring,13.1,Win,Red,J Team,34:40,Wukong,0,1,10
