Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,PSG Talon,37:51,Renekton,2,4,2
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,PSG Talon,36:53,Aatrox,6,6,3
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Red,PSG Talon,30:09,Gragas,0,3,0
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,26:08,Renekton,2,0,7
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,26:54,Aatrox,5,1,6
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Chiefs Esports Club,24:32,Aatrox,0,0,7
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Chiefs Esports Club,41:25,Aatrox,3,5,4
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Blue,Frank Esports,34:43,Gragas,0,1,5
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Red,HELL PIGS,48:46,K'Sante,5,1,12
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,31:12,Rumble,1,2,3
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:15,Rumble,1,0,6
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,42:11,Jax,5,4,2
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,36:52,Gragas,1,2,4
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,40:03,Gragas,8,3,10
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,28:58,Renekton,3,5,3
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,24:56,Jax,1,3,0
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,35:01,Renekton,3,3,4
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,25:11,Jax,1,4,0
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:44,K'Sante,7,0,6
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,31:00,Renekton,0,3,0
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:21,Jax,2,0,4
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,25:54,Jax,1,0,6
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,42:29,Renekton,2,2,2
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,35:52,Gnar,1,4,3
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:53,Renekton,5,1,2
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,31:30,K'Sante,0,2,4
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,28:18,Gwen,1,0,11
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,40:15,Malphite,0,1,0
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,37:34,Yone,0,0,4
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,30:46,Gragas,0,2,4
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Team Bliss,24:13,Gnar,3,1,3
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Team Bliss,29:37,Gnar,6,0,4
2023-03-26,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Team Bliss,33:34,Gwen,6,1,8
2023-03-12,PCS PCS 2023 Spring,13.4,Loss,Blue,Beyond Gaming,29:39,Sion,0,1,5
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Blue,HELL PIGS,27:02,Irelia,5,1,4
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Blue,Dewish Team,25:45,Gnar,5,0,4
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,PSG Talon,52:10,Sejuani,2,5,11
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Blue,CTBC Flying Oyster,33:58,Kennen,1,4,2
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,32:46,Gnar,4,1,3
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,Frank Esports,37:29,Gangplank,4,2,3
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,Impunity,36:33,Gnar,2,2,5
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Red,Beyond Gaming,39:55,Gnar,4,1,5
2023-02-24,PCS PCS 2023 Spring,13.3,Win,Blue,J Team,29:29,Gwen,4,1,8
2023-02-19,PCS PCS 2023 Spring,13.3,Win,Blue,Dewish Team,29:59,Jax,8,0,7
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,33:03,Jax,2,2,0
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Blue,Frank Esports,31:51,Gnar,3,2,4
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Red,HELL PIGS,29:50,Sion,2,2,1
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,40:57,Gnar,1,3,4
2023-02-10,PCS PCS 2023 Spring,13.1,Win,Red,SEM9 WPE,32:08,Gragas,1,5,5
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Red,Impunity,29:25,K'Sante,2,3,2
