Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,24:15,Gnar,0,2,2
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,24:35,Renekton,0,2,3
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,36:46,Jax,3,3,5
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:07,Gnar,0,5,5
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,21:43,Gwen,1,4,4
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Blue,Impunity,39:18,Renekton,6,5,8
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,23:05,Gwen,0,3,0
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,21:43,Gwen,1,2,1
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,23:44,Renekton,1,3,0
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,24:19,Renekton,1,2,0
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,HELL PIGS,38:41,K'Sante,1,2,1
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,24:21,Jax,0,3,1
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,West Point Esports Philippines,24:04,Fiora,1,3,1
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,Impunity,26:00,Jax,0,3,0
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,23:54,Renekton,0,4,1
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Blue,Vanung Lion,28:03,Fiora,0,5,0
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Win,Blue,Vanung Lion,39:42,Camille,2,3,17
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Blue,Vanung Lion,25:34,Fiora,2,3,0
