Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-17,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Team Bliss,30:19,Azir,2,2,12
2023-08-17,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Team Bliss,30:49,Jayce,4,0,8
2023-08-17,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Team Bliss,30:08,Jayce,7,1,7
2023-08-07,PCS PCS 2023 Summer,13.13,Win,Blue,Frank Esports,33:25,Azir,5,2,3
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Blue,Impunity,27:37,Neeko,3,1,6
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,40:32,Annie,2,3,4
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Blue,Dewish Team,44:45,LeBlanc,4,3,6
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,PSG Talon,32:18,Tristana,2,2,2
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,27:38,Azir,1,0,1
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,36:52,Ahri,0,4,4
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,37:38,Ahri,1,4,5
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,31:32,LeBlanc,3,2,4
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,24:38,LeBlanc,0,0,3
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:05,Ahri,3,0,4
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,25:11,Ahri,5,0,8
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:59,Tristana,2,2,1
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,34:01,Azir,1,0,7
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,37:55,Tristana,5,3,4
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,37:49,Tristana,5,1,4
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:24,Ahri,8,0,7
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,48:18,Jayce,11,2,11
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,19:33,Jayce,6,0,4
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,28:38,Sylas,1,5,0
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,31:55,Veigar,0,4,7
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,32:14,LeBlanc,3,1,1
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,24:10,K'Sante,4,1,4
