Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Deep Cross Gaming,37:51,Kindred,6,4,11
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Deep Cross Gaming,36:53,Rell,1,4,10
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Deep Cross Gaming,30:09,Vi,2,1,10
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Red,HELL PIGS,31:26,Maokai,5,3,14
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Blue,J Team,34:13,Nocturne,3,3,6
2023-08-04,PCS PCS 2023 Summer,13.13,Win,Red,West Point Esports Philippines,24:00,Maokai,2,2,15
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,32:18,Rell,1,1,8
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Red,Deep Cross Gaming,42:11,Rell,2,1,13
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Impunity,20:43,Sejuani,2,1,15
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,34:43,Sejuani,3,0,9
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,21:43,Viego,10,1,11
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,31:34,Sejuani,0,3,11
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,23:25,Vi,4,1,8
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,31:25,Vi,5,2,9
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,CTBC Flying Oyster,31:59,Ivern,2,1,11
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,24:36,Vi,3,3,9
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,30:03,Poppy,0,4,1
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,24:21,Maokai,5,0,11
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,J Team,30:41,Sejuani,1,2,9
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,35:52,Graves,3,1,10
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,35:37,Maokai,3,3,19
2023-05-07,INT MSI 2023,13.8,Loss,Blue,Golden Guardians,34:00,Vi,1,4,4
2023-05-07,INT MSI 2023,13.8,Loss,Blue,Golden Guardians,32:26,Sejuani,5,4,2
2023-05-07,INT MSI 2023,13.8,Loss,Red,Golden Guardians,33:57,Kha'Zix,1,3,3
2023-05-06,INT MSI 2023,13.8,Win,Red,LOUD,28:17,Kindred,8,2,10
2023-05-06,INT MSI 2023,13.8,Win,Blue,LOUD,33:45,Sejuani,2,0,13
2023-05-04,INT MSI 2023,13.8,Loss,Blue,G2 Esports,26:55,Vi,0,7,5
2023-05-04,INT MSI 2023,13.8,Loss,Red,G2 Esports,40:26,Viego,5,6,5
2023-05-02,INT MSI 2023,13.8,Win,Red,DetonatioN FocusMe,50:13,Viego,3,4,11
2023-05-02,INT MSI 2023,13.8,Win,Blue,DetonatioN FocusMe,30:31,Vi,6,1,15
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Frank Esports,27:55,Viego,6,0,10
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Frank Esports,26:02,Kindred,7,0,1
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,28:39,Sejuani,6,0,10
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,CTBC Flying Oyster,46:01,Wukong,4,1,8
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,CTBC Flying Oyster,39:11,Wukong,1,7,6
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,CTBC Flying Oyster,38:36,Wukong,2,3,2
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,CTBC Flying Oyster,37:41,Sejuani,2,2,9
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,CTBC Flying Oyster,30:52,Vi,3,1,7
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Impunity,32:30,Wukong,5,1,3
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Impunity,34:40,Sejuani,3,1,6
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Impunity,36:35,Sejuani,0,2,5
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Impunity,35:40,Wukong,8,5,2
2023-03-31,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Impunity,31:16,Wukong,1,3,4
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Red,Frank Esports,43:42,Elise,1,2,2
2023-03-09,PCS PCS 2023 Spring,13.4,Win,Red,Deep Cross Gaming,52:10,Wukong,4,3,12
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Blue,Dewish Team,33:02,Lee Sin,5,5,6
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Blue,HELL PIGS,32:27,Lee Sin,2,2,7
2023-03-03,PCS PCS 2023 Spring,13.4,Win,Blue,Beyond Gaming,32:02,Sejuani,0,2,8
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Red,CTBC Flying Oyster,38:37,Wukong,5,0,10
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Blue,Impunity,39:07,Sejuani,3,4,17
