Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,J Team,30:13,Rell,1,4,9
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,J Team,34:43,Nautilus,2,6,14
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,J Team,34:46,Nautilus,0,2,9
2023-08-11,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Team Bliss,22:06,Rakan,1,0,21
2023-08-11,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Team Bliss,33:54,Nautilus,1,2,19
2023-08-11,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Team Bliss,27:39,Nautilus,1,0,14
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Blue,West Point Esports Philippines,22:60,Nautilus,2,2,14
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,40:32,Rell,1,4,11
2023-08-04,PCS PCS 2023 Summer,13.13,Win,Blue,Deep Cross Gaming,31:12,Rell,0,0,7
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,Frank Esports,37:02,Nautilus,1,0,12
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:35,Rell,1,1,23
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,26:49,Rell,1,3,1
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,22:57,Nautilus,0,1,10
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:37,Rakan,0,2,6
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:34,Alistar,0,5,6
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Deep Cross Gaming,35:01,Alistar,0,3,13
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,33:00,Braum,2,2,13
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,J Team,35:59,Rell,1,4,10
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:41,Rell,1,0,14
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Blue,PSG Talon,30:03,Nautilus,0,0,6
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,37:49,Nautilus,0,6,8
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,HELL PIGS,32:05,Leona,1,3,19
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,28:32,Rakan,3,0,12
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:54,Rell,0,0,19
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Red,Impunity,27:11,Aphelios,2,2,4
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,HELL PIGS,28:36,Xayah,2,2,1
2023-03-09,PCS PCS 2023 Spring,13.4,Win,Red,Beyond Gaming,39:57,Xayah,5,0,9
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Red,Frank Esports,26:19,Sett,2,3,3
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Red,Deep Cross Gaming,32:46,Pyke,2,3,6
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,J Team,32:08,Rakan,0,3,7
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,Dewish Team,23:29,Rell,0,3,0
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Red,CTBC Flying Oyster,25:09,Leona,1,3,4
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,23:41,Karma,0,2,1
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Blue,Impunity,35:40,Pyke,1,5,5
2023-02-18,PCS PCS 2023 Spring,13.3,Win,Red,HELL PIGS,45:11,Karma,2,1,19
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Red,Beyond Gaming,48:33,Sett,5,4,10
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Red,Frank Esports,23:24,Renata Glasc,0,3,2
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Red,J Team,27:17,Karma,0,2,4
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Blue,Deep Cross Gaming,32:08,Karma,1,3,9
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Blue,Dewish Team,37:29,Ashe,1,3,8
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,23:41,Thresh,0,5,5
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Red,PSG Talon,35:40,Jhin,0,2,6
