Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,J Team,30:13,Gragas,4,0,10
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,J Team,34:43,Kha'Zix,4,1,9
2023-08-13,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,J Team,34:46,Kha'Zix,6,1,4
2023-08-11,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Team Bliss,22:06,Poppy,7,1,10
2023-08-11,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Team Bliss,33:54,Kha'Zix,5,3,10
2023-08-11,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Team Bliss,27:39,Gragas,2,2,8
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Blue,West Point Esports Philippines,22:60,Maokai,4,1,15
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,40:32,Nocturne,0,4,7
2023-08-04,PCS PCS 2023 Summer,13.13,Win,Blue,Deep Cross Gaming,31:12,Kha'Zix,3,1,6
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,Frank Esports,37:02,Viego,5,0,10
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:35,Viego,12,2,11
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,26:49,Lillia,0,3,3
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,22:57,Vi,9,1,7
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:37,Sejuani,2,3,4
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:34,Maokai,0,3,5
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Deep Cross Gaming,35:01,Maokai,3,2,8
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,33:00,Viego,9,0,2
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,J Team,35:59,Maokai,2,1,7
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:41,Viego,5,1,6
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Blue,PSG Talon,30:03,Viego,3,0,8
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,37:49,Viego,4,3,4
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,HELL PIGS,32:05,Wukong,2,4,9
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,28:32,Wukong,4,0,10
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:54,Wukong,4,1,16
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Impunity,27:02,Pantheon,3,3,0
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Impunity,23:45,Wukong,1,2,4
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Impunity,39:13,Viego,8,3,10
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Impunity,32:09,Xin Zhao,7,4,7
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Impunity,32:57,Maokai,1,0,11
2023-03-25,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Chiefs Esports Club,34:39,Pantheon,3,0,7
2023-03-25,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Chiefs Esports Club,38:54,Wukong,4,5,5
2023-03-25,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Chiefs Esports Club,43:16,Lee Sin,6,5,8
2023-03-25,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Chiefs Esports Club,23:57,Pantheon,1,1,11
2023-03-12,PCS PCS 2023 Spring,13.4,Win,Red,Deep Cross Gaming,29:39,Wukong,2,2,6
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Blue,CTBC Flying Oyster,36:06,Kindred,3,1,4
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Blue,Impunity,40:02,Kindred,3,3,5
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,SEM9 WPE,39:57,Wukong,7,4,6
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Blue,HELL PIGS,33:04,Wukong,4,2,5
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Red,J Team,30:55,Lee Sin,4,0,7
