Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,24:08,Ornn,0,2,2
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Blue,HELL PIGS,26:48,Fiora,1,5,4
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,PSG Talon,20:43,Fiora,1,1,1
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,22:57,Ornn,0,2,0
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,28:58,Ornn,2,3,7
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,39:18,Jax,5,3,8
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,23:25,Renekton,1,5,1
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,29:04,Jax,3,4,1
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Blue,West Point Esports Philippines,26:13,Fiora,2,2,3
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,22:41,Renekton,2,2,0
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,21:21,Kennen,0,3,1
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,Frank Esports,22:26,Kennen,2,4,2
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,22:24,Ornn,1,5,1
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,26:00,Fiora,3,0,7
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,21:60,Jax,0,2,2
