Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Impunity,24:08,Poppy,3,2,5
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,33:60,Maokai,1,0,7
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Beyond Gaming,26:49,Sejuani,0,1,10
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,CTBC Flying Oyster,37:38,Poppy,1,1,10
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,23:40,Maokai,1,2,11
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,24:56,Nocturne,3,0,8
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,23:39,Maokai,2,1,11
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,21:43,Skarner,2,0,14
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,35:59,Ivern,2,1,7
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Deep Cross Gaming,31:00,Sejuani,1,0,11
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,CTBC Flying Oyster,37:55,Sejuani,0,1,12
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,25:27,Maokai,2,0,14
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,30:41,Nocturne,0,3,1
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,HELL PIGS,23:23,Maokai,3,2,13
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:60,Sejuani,2,1,10
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Red,PSG Talon,38:20,Wukong,5,2,5
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,CTBC Flying Oyster,30:50,Vi,0,3,1
2023-03-09,PCS PCS 2023 Spring,13.4,Win,Blue,Dewish Team,29:24,Sejuani,2,1,9
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Red,Impunity,31:26,Vi,4,0,11
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Blue,Beyond Gaming,30:55,Jarvan IV,1,5,1
2023-03-03,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,32:08,Gragas,7,2,11
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,HELL PIGS,36:27,Sejuani,1,6,3
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Blue,Frank Esports,28:10,Wukong,1,3,2
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,Deep Cross Gaming,29:29,Wukong,1,0,1
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,40:04,Vi,0,7,6
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,CTBC Flying Oyster,30:23,Vi,2,2,5
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Red,Impunity,29:52,Sejuani,3,0,10
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Red,Beyond Gaming,33:08,Vi,2,6,4
2023-02-11,PCS PCS 2023 Spring,13.1,Win,Blue,SEM9 WPE,27:17,Sejuani,1,3,11
2023-02-10,PCS PCS 2023 Spring,13.1,Win,Blue,HELL PIGS,31:46,Vi,3,0,9
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Red,Frank Esports,34:20,Sejuani,0,0,4
2023-02-04,PCS PCS 2023 Spring,13.1,Win,Red,Dewish Team,26:46,Sejuani,8,0,10
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Blue,Deep Cross Gaming,34:40,Poppy,1,1,2
