Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,32:18,Jayce,2,2,2
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Red,Deep Cross Gaming,42:11,Jayce,0,2,12
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Impunity,20:43,Jayce,10,1,3
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,34:43,Tristana,5,0,5
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,21:43,Neeko,3,1,20
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,31:34,Jayce,6,0,7
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,23:25,Annie,3,0,10
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,31:25,Neeko,2,0,11
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,CTBC Flying Oyster,31:59,Jayce,5,1,7
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,24:36,Azir,6,0,5
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,30:03,LeBlanc,1,4,0
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,24:21,Jayce,6,1,11
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,J Team,30:41,Tristana,4,0,3
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,35:52,Annie,3,5,4
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,35:37,Jayce,5,1,13
2023-03-17,NA LCS 2023 Spring,13.5,Loss,Red,FlyQuest,30:30,Syndra,1,5,0
2023-03-16,NA LCS 2023 Spring,13.5,Win,Blue,Dignitas,29:28,Taliyah,7,2,8
2023-03-15,NA LCS 2023 Spring,13.5,Loss,Red,100 Thieves,46:60,Aurelion Sol,10,3,5
2023-03-11,NA LCS 2023 Spring,13.4,Loss,Red,Golden Guardians,30:38,Veigar,2,3,3
2023-03-09,NA LCS 2023 Spring,13.4,Win,Blue,Immortals,44:22,Annie,3,4,10
2023-03-04,NA LCS 2023 Spring,13.4,Win,Red,Team Liquid,33:26,Syndra,3,1,7
2023-03-02,NA LCS 2023 Spring,13.4,Loss,Blue,Evil Geniuses.NA,43:23,Galio,4,4,2
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Blue,Cloud9,26:37,Taliyah,0,3,6
2023-02-24,NA LCS 2023 Spring,13.3,Loss,Red,Counter Logic Gaming,37:59,Kassadin,2,2,2
2023-02-18,NA LCS 2023 Spring,13.3,Win,Red,Dignitas,31:56,Taliyah,2,0,4
2023-02-17,NA LCS 2023 Spring,13.3,Win,Blue,FlyQuest,38:17,Taliyah,7,1,12
2023-02-16,NA LCS 2023 Spring,13.3,Loss,Blue,Golden Guardians,33:11,Azir,1,3,3
2023-02-10,NA LCS 2023 Spring,13.1,Win,Blue,Counter Logic Gaming,32:59,Sylas,6,2,6
2023-02-09,NA LCS 2023 Spring,13.1,Loss,Red,Cloud9,34:45,Ryze,5,4,3
2023-02-04,NA LCS 2023 Spring,13.1,Loss,Blue,100 Thieves,30:02,Azir,0,3,1
2023-02-03,NA LCS 2023 Spring,13.1,Loss,Red,Evil Geniuses.NA,27:29,Galio,2,5,4
2023-01-28,NA LCS 2023 Spring,13.1,Win,Red,Team Liquid,40:07,Azir,7,1,8
2023-01-27,NA LCS 2023 Spring,13.1,Win,Red,Immortals,31:34,Taliyah,3,0,6
