Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Blue,Beyond Gaming,37:02,Xayah,2,3,3
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,J Team,33:60,Ashe,3,1,8
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,HELL PIGS,29:40,Kai'Sa,6,1,12
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,34:43,Varus,1,2,4
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Red,CTBC Flying Oyster,31:32,Varus,7,1,11
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:07,Kai'Sa,10,0,8
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,23:39,Xayah,3,3,3
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,33:00,Xayah,1,4,2
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:54,Aphelios,3,4,5
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,24:19,Xayah,6,0,9
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,28:11,Kai'Sa,4,3,8
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,22:26,Kai'Sa,1,1,5
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,42:29,Aphelios,4,2,10
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,48:18,Ezreal,8,5,6
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,35:37,Kai'Sa,4,5,4
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,PSG Talon,27:55,Lucian,0,3,1
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,PSG Talon,26:02,Zeri,0,2,2
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,28:39,Kai'Sa,0,3,1
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,CTBC Flying Oyster,28:38,Kai'Sa,7,1,4
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,CTBC Flying Oyster,31:55,Zeri,12,1,8
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,CTBC Flying Oyster,32:14,Lucian,0,2,5
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,CTBC Flying Oyster,24:10,Aphelios,2,4,5
2023-04-07,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Impunity,33:51,Xayah,10,1,4
2023-04-07,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Impunity,30:27,Xayah,8,1,5
2023-04-07,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Impunity,38:08,Xayah,8,1,7
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Deep Cross Gaming,31:30,Xayah,5,0,5
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Deep Cross Gaming,28:18,Kalista,3,5,1
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Deep Cross Gaming,40:15,Jinx,4,0,7
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Deep Cross Gaming,37:34,Lucian,0,3,0
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Deep Cross Gaming,30:46,Lucian,4,2,6
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,CTBC Flying Oyster,35:41,Aphelios,3,2,3
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,CTBC Flying Oyster,38:60,Kai'Sa,3,3,9
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,CTBC Flying Oyster,29:06,Aphelios,2,4,4
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,CTBC Flying Oyster,33:53,Xayah,11,1,10
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,CTBC Flying Oyster,26:29,Kai'Sa,5,1,5
2023-03-12,PCS PCS 2023 Spring,13.4,Win,Blue,CTBC Flying Oyster,34:03,Aphelios,6,1,7
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Red,Dewish Team,28:11,Veigar,3,0,5
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Blue,PSG Talon,43:42,Xayah,2,1,3
2023-03-09,PCS PCS 2023 Spring,13.4,Win,Red,CTBC Flying Oyster,32:27,Xayah,4,0,6
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,26:19,Jhin,3,1,5
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Blue,Impunity,44:17,Xayah,9,3,14
2023-03-03,PCS PCS 2023 Spring,13.4,Win,Blue,Deep Cross Gaming,37:29,Lucian,2,3,4
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Red,Beyond Gaming,33:30,Varus,3,1,2
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Red,J Team,28:10,Lucian,5,3,7
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Blue,HELL PIGS,42:27,Lucian,2,2,2
