Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,22:60,Jayce,3,5,1
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Red,Impunity,28:20,Jayce,13,1,9
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,24:00,Malphite,2,5,3
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,HELL PIGS,38:31,Viktor,6,0,4
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,27:38,Jayce,2,1,6
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,36:46,Jayce,5,7,13
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,40:03,Neeko,5,4,12
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,23:40,Malphite,3,2,3
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,Frank Esports,24:07,LeBlanc,0,2,3
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,30:08,LeBlanc,5,1,9
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:25,Ahri,2,3,1
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,26:13,Jayce,5,2,9
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,34:01,Ahri,2,1,2
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,28:11,LeBlanc,4,0,2
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,25:27,Tristana,4,2,4
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,24:04,Jayce,7,1,5
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,28:32,Jayce,2,3,0
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,24:53,Ahri,0,3,4
2023-02-07,PCS LCO 2023 Split 1,13.1,Loss,Blue,Dire Wolves,42:34,Azir,3,5,7
2023-02-06,PCS LCO 2023 Split 1,13.1,Win,Blue,Chiefs Esports Club,29:03,Viktor,0,1,9
2023-01-13,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Red,LIT Team,28:55,Ryze,1,4,1
2023-01-13,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Red,LIT Team,32:56,Ryze,4,3,2
2023-01-13,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Blue,LIT Team,33:29,Akali,2,5,5
2023-01-13,PCS LSC Season 6 Winter Playoffs,13.1,Win,Red,LIT Team,43:45,Galio,5,3,8
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Win,Red,Far East Eagle,33:20,Viktor,11,4,13
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Win,Red,Far East Eagle,28:03,Galio,7,2,9
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Red,Far East Eagle,39:42,Sylas,6,7,6
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Win,Red,Far East Eagle,25:34,LeBlanc,11,0,5
