Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,PSG Talon,37:51,Braum,1,3,3
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,PSG Talon,36:53,Blitzcrank,0,5,5
2023-08-14,PCS PCS 2023 Summer Playoffs,13.14,Loss,Red,PSG Talon,30:09,Rakan,0,3,2
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,26:08,Rell,0,5,16
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,26:54,Rell,0,2,12
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Chiefs Esports Club,24:32,Rell,0,1,8
2023-08-12,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Chiefs Esports Club,41:25,Rakan,1,4,11
2023-08-06,PCS PCS 2023 Summer,13.13,Win,Blue,Frank Esports,34:43,Rell,2,4,5
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Red,HELL PIGS,48:46,Rell,3,5,17
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,31:12,Alistar,0,3,1
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:15,Rell,1,4,9
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,42:11,Alistar,0,6,3
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,36:52,Rell,0,3,11
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,40:03,Nautilus,1,6,17
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,28:58,Milio,0,2,18
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,24:56,Blitzcrank,0,4,2
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,31:00,Rell,0,4,0
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,21:21,Blitzcrank,0,2,14
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,25:54,Rell,0,1,9
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,42:29,Heimerdinger,3,3,8
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,35:52,Blitzcrank,0,4,5
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:53,Rakan,0,2,9
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,31:30,Lulu,0,2,4
2023-04-01,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,28:18,Nami,0,1,19
