Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,28:25,Ziggs,0,4,3
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,33:58,Kog'Maw,5,4,1
2023-08-04,PCS PCS 2023 Summer,13.13,Win,Red,CTBC Flying Oyster,44:45,Aphelios,7,3,11
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,24:15,Varus,2,4,4
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,24:35,Xayah,4,4,0
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,36:46,Ashe,11,1,10
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:07,Tristana,9,4,2
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,21:43,Xayah,5,4,2
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Blue,Impunity,39:18,Aphelios,9,4,10
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,23:05,Xayah,0,4,0
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,21:43,Kai'Sa,0,4,2
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,23:44,Tristana,0,4,0
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,24:19,Varus,2,3,1
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,HELL PIGS,38:41,Xayah,3,2,2
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,24:21,Xayah,2,4,1
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,West Point Esports Philippines,24:04,Xayah,1,3,1
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,Impunity,26:00,Xayah,1,1,2
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,23:54,Ezreal,0,2,0
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Blue,Frank Esports,28:11,Kog'Maw,2,2,0
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,Deep Cross Gaming,25:45,Xayah,5,4,2
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Red,J Team,29:24,Aphelios,4,3,4
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Red,PSG Talon,33:02,Xayah,1,3,8
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Blue,CTBC Flying Oyster,26:55,Jhin,2,2,1
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,Impunity,25:30,Ziggs,5,5,3
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Red,SEM9 WPE,23:29,Jhin,2,0,10
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Blue,HELL PIGS,31:20,Xayah,7,2,13
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,Beyond Gaming,32:48,Jhin,0,2,1
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Red,Deep Cross Gaming,29:59,Ziggs,3,2,1
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,Frank Esports,25:42,Varus,0,5,4
2023-02-17,PCS PCS 2023 Spring,13.3,Loss,Red,HELL PIGS,41:56,Zeri,3,2,6
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,24:13,Zeri,3,3,1
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Red,Beyond Gaming,27:04,Varus,2,6,4
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Blue,PSG Talon,24:35,Nilah,3,5,2
2023-02-05,PCS PCS 2023 Spring,13.1,Win,Red,SEM9 WPE,37:29,Varus,9,2,11
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Blue,J Team,26:46,Zeri,2,6,1
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Blue,Impunity,26:57,Lucian,1,2,6
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Blue,Vanung Lion,33:20,Varus,6,5,7
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Blue,Vanung Lion,28:03,Varus,4,2,3
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Win,Blue,Vanung Lion,39:42,Varus,8,2,8
2023-01-07,PCS LSC Season 6 Winter Playoffs,13.1,Loss,Blue,Vanung Lion,25:34,Zeri,2,4,4
