Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,HELL PIGS,38:31,Tristana,4,1,3
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,27:38,Tristana,6,0,1
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,36:46,Kai'Sa,7,6,9
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,40:03,Tristana,8,4,8
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,23:40,Varus,3,5,0
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,Frank Esports,24:07,Xayah,2,5,0
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,30:08,Kai'Sa,6,4,11
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:25,Xayah,2,4,2
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,26:13,Xayah,10,2,10
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,34:01,Xayah,0,3,4
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,28:11,Tristana,4,2,3
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,25:27,Kai'Sa,2,2,3
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,24:04,Ezreal,7,0,10
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,28:32,Varus,0,7,4
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,24:53,Varus,2,4,0
