Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-18,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Chiefs Esports Club,24:24,Jayce,5,0,6
2023-08-18,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Chiefs Esports Club,43:06,LeBlanc,1,3,3
2023-08-18,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,23:37,Jayce,6,0,10
2023-08-18,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,31:60,LeBlanc,3,1,6
2023-08-07,PCS PCS 2023 Summer,13.13,Loss,Red,CTBC Flying Oyster,33:25,Ahri,2,0,2
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,34:43,Syndra,1,2,4
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,33:58,Annie,2,3,14
2023-08-04,PCS PCS 2023 Summer,13.13,Win,Red,Impunity,23:40,Annie,3,1,6
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Blue,Beyond Gaming,37:02,LeBlanc,0,3,4
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,J Team,33:60,Neeko,2,1,7
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,HELL PIGS,29:40,Ahri,6,1,13
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,34:43,Annie,1,5,3
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Red,CTBC Flying Oyster,31:32,Annie,3,5,14
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:07,Annie,0,1,13
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,23:39,Jayce,2,5,0
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,33:00,Azir,2,5,2
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:54,Tristana,2,4,4
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,24:19,Kai'Sa,10,0,5
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,28:11,Annie,4,1,7
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,22:26,Azir,6,0,3
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,42:29,Jayce,9,2,3
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,48:18,Ahri,4,5,11
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,35:37,LeBlanc,3,3,2
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,PSG Talon,27:55,Ahri,2,2,1
