Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,22:60,Renekton,0,3,2
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Red,Impunity,28:20,Gragas,5,2,8
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,24:00,Yone,1,5,2
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,HELL PIGS,38:31,Yone,2,2,5
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,27:38,Irelia,2,2,6
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,36:46,Fiora,7,2,6
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,40:03,Jax,5,6,7
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,23:40,Renekton,1,4,0
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,Frank Esports,24:07,Sion,1,6,2
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,30:08,Sion,2,1,14
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:25,Renekton,2,4,1
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,26:13,Sion,2,0,9
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,34:01,Jax,2,5,0
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,28:11,Gragas,0,5,2
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,25:27,Akali,1,3,3
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,24:04,Irelia,4,1,5
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,28:32,Gnar,0,5,0
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,24:53,Gragas,0,3,4
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Red,Impunity,27:11,Akali,6,3,2
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,HELL PIGS,28:36,Renekton,0,5,3
2023-03-09,PCS PCS 2023 Spring,13.4,Win,Red,Beyond Gaming,39:57,Irelia,4,6,3
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Red,Frank Esports,26:19,Renekton,1,7,3
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Red,Deep Cross Gaming,32:46,Camille,0,3,3
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,J Team,32:08,Fiora,0,6,3
2023-02-26,PCS PCS 2023 Spring,13.3,Loss,Blue,Dewish Team,23:29,Gnar,0,1,0
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Red,CTBC Flying Oyster,25:09,Camille,0,3,4
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,PSG Talon,23:41,Gnar,0,2,1
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Blue,Impunity,35:40,Akali,4,5,1
2023-02-18,PCS PCS 2023 Spring,13.3,Win,Red,HELL PIGS,45:11,Gwen,4,7,8
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Red,Beyond Gaming,48:33,Fiora,10,2,8
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Red,Frank Esports,23:24,Gragas,0,6,0
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Red,J Team,27:17,Jax,2,4,0
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Blue,Deep Cross Gaming,32:08,Irelia,3,3,4
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Blue,Dewish Team,37:29,Akali,7,5,1
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,23:41,Gragas,2,4,1
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Red,PSG Talon,35:40,Fiora,1,3,2
