Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,PSG Talon,32:18,Rumble,2,1,3
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,27:38,Rumble,3,3,1
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,36:52,Jax,1,2,1
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,37:38,K'Sante,1,3,3
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,31:32,K'Sante,0,4,2
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,24:38,Rumble,2,1,6
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:05,Renekton,1,0,4
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,25:11,Renekton,2,1,3
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:59,Jax,0,3,0
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,34:01,Renekton,5,1,4
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,37:55,K'Sante,0,3,6
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,37:49,Jax,3,1,4
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:24,Jax,4,0,4
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,48:18,Renekton,2,3,9
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,19:33,Gwen,3,1,1
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,28:38,Malphite,1,4,1
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,31:55,Malphite,1,5,4
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,32:14,Kennen,1,1,1
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,24:10,Jayce,3,1,5
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,46:01,Jax,4,4,3
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,PSG Talon,39:11,Gnar,2,1,5
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,PSG Talon,38:36,Gnar,0,2,10
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,37:41,Gnar,0,1,2
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,30:52,Malphite,1,3,2
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Frank Esports,35:41,Mordekaiser,2,0,7
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Frank Esports,38:60,Kennen,6,3,11
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,29:06,K'Sante,3,0,8
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,33:53,K'Sante,2,4,4
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,26:29,Gnar,2,3,1
2023-03-23,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Chiefs Esports Club,27:47,Renekton,8,4,1
2023-03-23,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Chiefs Esports Club,28:30,Gnar,2,5,4
2023-03-23,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Chiefs Esports Club,24:40,Jayce,1,2,6
2023-03-12,PCS PCS 2023 Spring,13.4,Loss,Red,Frank Esports,34:03,Gnar,0,3,1
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Red,Beyond Gaming,36:06,K'Sante,2,2,3
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Blue,J Team,30:50,Gnar,0,0,2
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,Frank Esports,32:27,Gnar,1,3,3
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Red,Deep Cross Gaming,33:58,Gnar,5,2,3
