Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Red,CTBC Flying Oyster,27:37,Syndra,0,2,1
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Blue,West Point Esports Philippines,28:20,Sylas,6,4,3
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Blue,Frank Esports,23:40,LeBlanc,1,3,0
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,24:08,Azir,1,4,3
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Blue,HELL PIGS,26:48,Tristana,4,6,3
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,PSG Talon,20:43,Azir,1,3,1
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,22:57,Ahri,0,4,1
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,28:58,Ahri,2,3,6
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,39:18,Azir,11,4,8
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,23:25,Azir,0,6,1
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,29:04,Sylas,3,5,5
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Blue,West Point Esports Philippines,26:13,Annie,1,6,3
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,22:41,Neeko,0,3,2
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,21:21,K'Sante,2,4,2
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,Frank Esports,22:26,Tristana,1,5,1
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,22:24,Jayce,1,2,1
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,26:00,Tristana,11,1,3
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,21:60,LeBlanc,0,4,1
