Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,PSG Talon,32:18,Nautilus,0,4,5
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,27:38,Rell,0,2,5
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,36:52,Alistar,1,3,4
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,37:38,Rell,0,4,6
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,31:32,Leona,0,6,5
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,24:38,Rell,4,1,6
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:05,Alistar,1,0,8
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,25:11,Alistar,1,2,7
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:59,Leona,1,5,4
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,34:01,Alistar,0,1,13
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,37:55,Leona,1,5,7
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,37:49,Alistar,1,3,10
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:24,Alistar,0,1,17
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,48:18,Tahm Kench,0,3,15
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,19:33,Blitzcrank,1,0,15
