Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,PSG Talon,32:18,Sivir,1,2,3
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,27:38,Jinx,2,3,3
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,36:52,Ezreal,3,2,2
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,J Team,37:38,Kai'Sa,4,1,2
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,31:32,Xayah,2,4,4
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,24:38,Jinx,3,1,5
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:05,Kai'Sa,4,0,3
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,25:11,Xayah,7,1,2
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:59,Xayah,2,3,4
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,34:01,Jinx,6,0,5
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,37:55,Ziggs,1,2,9
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,37:49,Xayah,5,3,5
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:24,Kai'Sa,5,0,9
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,48:18,Jinx,6,4,12
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,19:33,Xayah,9,0,2
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,28:38,Jinx,0,3,0
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Frank Esports,31:55,Jinx,1,4,4
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,Frank Esports,32:14,Zeri,0,2,3
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Frank Esports,24:10,Jinx,3,0,7
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,46:01,Aphelios,8,4,2
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,PSG Talon,39:11,Jinx,10,2,2
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,PSG Talon,38:36,Zeri,8,1,2
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,37:41,Zeri,3,2,0
2023-04-06,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,30:52,Varus,0,2,1
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Frank Esports,35:41,Zeri,4,1,5
2023-03-30,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Frank Esports,38:60,Aphelios,6,2,10
