Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-18,PCS PCS 2023 Summer Playoffs,13.14,Win,Blue,Chiefs Esports Club,24:24,Udyr,0,0,7
2023-08-18,PCS PCS 2023 Summer Playoffs,13.14,Loss,Blue,Chiefs Esports Club,43:06,Jax,0,3,5
2023-08-18,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,23:37,Ornn,3,3,7
2023-08-18,PCS PCS 2023 Summer Playoffs,13.14,Win,Red,Chiefs Esports Club,31:60,Renekton,3,2,6
2023-08-07,PCS PCS 2023 Summer,13.13,Loss,Red,CTBC Flying Oyster,33:25,Gwen,2,4,2
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,34:43,Fiora,0,1,1
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,33:58,Renekton,6,2,9
2023-08-04,PCS PCS 2023 Summer,13.13,Win,Red,Impunity,23:40,Gangplank,3,1,5
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Blue,Beyond Gaming,37:02,Renekton,3,3,2
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,J Team,33:60,Udyr,4,1,7
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,HELL PIGS,29:40,K'Sante,2,2,7
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,34:43,K'Sante,1,2,2
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Red,CTBC Flying Oyster,31:32,Fiora,5,0,6
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,24:07,K'Sante,2,1,9
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,23:39,Jax,2,2,0
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,33:00,Gangplank,0,3,1
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:54,Jax,3,5,3
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,24:19,Jax,1,0,4
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,28:11,Renekton,1,1,5
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,22:26,Renekton,4,3,5
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,42:29,Kennen,1,5,3
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,48:18,Jax,2,3,8
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,35:37,Aatrox,0,4,3
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,PSG Talon,27:55,K'Sante,1,3,1
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,PSG Talon,26:02,Gnar,0,2,2
2023-04-09,PCS PCS 2023 Spring Playoffs,13.5,Loss,Red,PSG Talon,28:39,Gwen,1,6,2
2023-04-08,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,CTBC Flying Oyster,28:38,Gnar,2,1,8
