Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,31:26,Jax,2,1,1
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Blue,Deep Cross Gaming,48:46,Renekton,8,6,6
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Blue,J Team,21:32,Mordekaiser,0,6,2
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Blue,West Point Esports Philippines,38:31,K'Sante,3,3,3
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Red,Impunity,26:48,K'Sante,5,2,6
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,29:40,Renekton,2,5,0
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,36:07,Jax,6,2,9
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,36:37,Gnar,2,4,10
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,24:38,Jax,0,5,2
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Red,West Point Esports Philippines,30:08,K'Sante,3,3,4
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,29:04,Renekton,6,1,8
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,36:54,Renekton,3,1,13
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,24:36,Renekton,1,1,4
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,38:41,Renekton,0,3,10
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,25:54,K'Sante,0,2,1
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,32:05,Gnar,1,3,3
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,23:23,K'Sante,1,2,1
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,19:33,K'Sante,1,3,0
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Red,Deep Cross Gaming,27:02,Jayce,0,8,1
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,28:36,Sion,1,2,11
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,Impunity,29:01,K'Sante,2,3,5
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Red,Beyond Gaming,33:04,K'Sante,2,6,3
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Red,PSG Talon,32:27,Gnar,1,6,1
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,CTBC Flying Oyster,26:05,Jax,3,3,1
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Red,J Team,36:27,Jax,7,1,7
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Red,Dewish Team,31:20,K'Sante,3,4,0
2023-02-24,PCS PCS 2023 Spring,13.3,Win,Red,Frank Esports,42:27,K'Sante,2,1,10
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Blue,Beyond Gaming,43:06,Gnar,0,3,5
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Blue,SEM9 WPE,45:11,Sion,2,5,13
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Blue,Dewish Team,41:56,Gnar,2,1,6
2023-02-12,PCS PCS 2023 Spring,13.1,Win,Blue,Deep Cross Gaming,29:50,Gnar,1,0,6
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Red,PSG Talon,34:07,K'Sante,1,5,0
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Red,J Team,31:46,Jax,2,2,1
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Red,CTBC Flying Oyster,27:44,Darius,0,3,1
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Red,Impunity,35:29,K'Sante,2,4,3
2023-02-03,PCS PCS 2023 Spring,13.1,Win,Red,Frank Esports,33:43,K'Sante,4,2,8
