Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Blue,PSG Talon,31:26,Kai'Sa,3,2,4
2023-08-05,PCS PCS 2023 Summer,13.13,Win,Blue,Deep Cross Gaming,48:46,Zeri,5,5,11
2023-08-04,PCS PCS 2023 Summer,13.13,Loss,Blue,J Team,21:32,Varus,1,2,0
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Blue,West Point Esports Philippines,38:31,Xayah,1,2,3
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Red,Impunity,26:48,Xayah,9,2,7
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,29:40,Zeri,1,2,5
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,36:07,Kai'Sa,10,2,9
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,36:37,Aphelios,3,3,5
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,24:38,Xayah,0,1,1
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Red,West Point Esports Philippines,30:08,Xayah,1,6,5
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,29:04,Aphelios,4,1,12
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,36:54,Kai'Sa,8,2,6
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,24:36,Samira,1,6,3
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,38:41,Kai'Sa,9,1,5
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,Deep Cross Gaming,25:54,Xayah,0,2,1
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,32:05,Kai'Sa,5,1,4
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,23:23,Ziggs,0,2,2
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,19:33,Zeri,0,5,1
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Red,Deep Cross Gaming,27:02,Sivir,4,0,0
2023-03-10,PCS PCS 2023 Spring,13.4,Win,Blue,SEM9 WPE,28:36,Veigar,6,1,5
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,Impunity,29:01,Zeri,2,2,5
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Red,Beyond Gaming,33:04,Sivir,2,3,2
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Red,PSG Talon,32:27,Sivir,2,1,2
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,CTBC Flying Oyster,26:05,Aphelios,2,5,4
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Red,J Team,36:27,Zeri,2,3,7
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Red,Dewish Team,31:20,Ezreal,1,3,5
2023-02-24,PCS PCS 2023 Spring,13.3,Win,Red,Frank Esports,42:27,Kai'Sa,8,1,7
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Blue,Beyond Gaming,43:06,Lucian,2,1,3
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Blue,SEM9 WPE,45:11,Xayah,7,4,6
2023-02-17,PCS PCS 2023 Spring,13.3,Win,Blue,Dewish Team,41:56,Lucian,6,2,3
2023-02-12,PCS PCS 2023 Spring,13.1,Win,Blue,Deep Cross Gaming,29:50,Sivir,4,2,8
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Red,PSG Talon,34:07,Lucian,0,2,1
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Red,J Team,31:46,Varus,0,1,4
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Red,CTBC Flying Oyster,27:44,Draven,1,1,0
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Red,Impunity,35:29,Zeri,3,2,1
2023-02-03,PCS PCS 2023 Spring,13.1,Win,Red,Frank Esports,33:43,Lucian,6,0,7
