Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-08-06,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,28:25,Lillia,5,4,3
2023-08-05,PCS PCS 2023 Summer,13.13,Loss,Red,Frank Esports,33:58,Sejuani,2,3,7
2023-08-04,PCS PCS 2023 Summer,13.13,Win,Red,CTBC Flying Oyster,44:45,Viego,8,3,12
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,24:15,Maokai,2,0,2
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,24:35,Lillia,2,6,4
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,36:46,Karthus,4,12,18
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:07,Xin Zhao,4,4,4
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,21:43,Maokai,0,6,4
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Blue,Impunity,39:18,Viego,4,1,12
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,23:05,Poppy,0,0,0
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,21:43,Ekko,2,7,1
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,23:44,Graves,3,7,1
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,24:19,Nautilus,0,5,2
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,HELL PIGS,38:41,Wukong,1,6,5
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,24:21,Sejuani,0,5,2
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,West Point Esports Philippines,24:04,Elise,3,4,2
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,Impunity,26:00,Vi,1,4,2
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,23:54,Sejuani,0,7,1
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Blue,Frank Esports,28:11,Viego,2,4,1
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,Deep Cross Gaming,25:45,Lee Sin,0,5,5
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Red,J Team,29:24,Trundle,1,3,6
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Red,PSG Talon,33:02,Vi,3,5,4
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Blue,CTBC Flying Oyster,26:55,Elise,3,5,2
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,Impunity,25:30,Karthus,1,7,7
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Red,SEM9 WPE,23:29,Nidalee,8,0,9
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Blue,HELL PIGS,31:20,Elise,11,0,10
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,Beyond Gaming,32:48,Nidalee,0,1,1
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Red,Deep Cross Gaming,29:59,Wukong,2,6,2
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,Frank Esports,25:42,Karthus,3,4,2
2023-02-17,PCS PCS 2023 Spring,13.3,Loss,Red,HELL PIGS,41:56,Lillia,4,0,7
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,24:13,Lee Sin,0,7,2
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Red,Beyond Gaming,27:04,Sejuani,0,5,5
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Blue,PSG Talon,24:35,Maokai,0,6,5
2023-02-05,PCS PCS 2023 Spring,13.1,Win,Red,SEM9 WPE,37:29,Maokai,0,2,14
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Blue,J Team,26:46,Kindred,3,3,1
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Blue,Impunity,26:57,Poppy,0,5,4
