Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Blue,CTBC Flying Oyster,32:18,Rakan,0,3,11
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Red,Deep Cross Gaming,42:11,Braum,1,1,14
2023-07-28,PCS PCS 2023 Summer,13.13,Win,Blue,Impunity,20:43,Nautilus,1,1,17
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,34:43,Rakan,2,2,8
2023-07-22,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,21:43,Nautilus,1,4,16
2023-07-21,PCS PCS 2023 Summer,13.12,Win,Blue,Beyond Gaming,31:34,Rell,1,2,10
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,23:25,Rell,2,0,13
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,West Point Esports Philippines,31:25,Braum,0,1,13
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,CTBC Flying Oyster,31:59,Nautilus,0,3,12
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Blue,HELL PIGS,24:36,Milio,1,1,19
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Red,Beyond Gaming,30:03,Leona,0,5,1
2023-07-07,PCS PCS 2023 Summer,13.12,Win,Blue,Dewish Team,24:21,Alistar,0,1,15
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,J Team,30:41,Rakan,0,0,9
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Blue,Deep Cross Gaming,35:52,Milio,0,2,16
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Frank Esports,35:37,Rakan,0,3,21
2023-05-07,INT MSI 2023,13.8,Loss,Blue,Golden Guardians,34:00,Thresh,1,4,5
2023-05-07,INT MSI 2023,13.8,Loss,Blue,Golden Guardians,32:26,Nami,0,4,10
2023-05-07,INT MSI 2023,13.8,Loss,Red,Golden Guardians,33:57,Karma,0,2,4
2023-05-06,INT MSI 2023,13.8,Win,Red,LOUD,28:17,Thresh,0,2,21
2023-05-06,INT MSI 2023,13.8,Win,Blue,LOUD,33:45,Thresh,1,2,10
2023-05-04,INT MSI 2023,13.8,Loss,Blue,G2 Esports,26:55,Leona,1,6,6
2023-05-04,INT MSI 2023,13.8,Loss,Red,G2 Esports,40:26,Nami,0,5,13
2023-05-02,INT MSI 2023,13.8,Win,Red,DetonatioN FocusMe,50:13,Blitzcrank,1,9,11
2023-05-02,INT MSI 2023,13.8,Win,Blue,DetonatioN FocusMe,30:31,Nautilus,0,2,10
