Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Loss,Red,Deep Cross Gaming,24:15,Jayce,1,4,3
2023-07-29,PCS PCS 2023 Summer,13.13,Loss,Red,Beyond Gaming,24:35,Jayce,0,8,0
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,West Point Esports Philippines,36:46,K'Sante,7,6,4
2023-07-23,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:07,Neeko,0,5,5
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Blue,PSG Talon,21:43,K'Sante,1,8,2
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Blue,Impunity,39:18,Neeko,3,8,10
2023-07-16,PCS PCS 2023 Summer,13.12,Loss,Blue,CTBC Flying Oyster,23:05,Azir,0,1,0
2023-07-15,PCS PCS 2023 Summer,13.12,Loss,Blue,J Team,21:43,Xin Zhao,1,7,1
2023-07-14,PCS PCS 2023 Summer,13.12,Loss,Blue,Deep Cross Gaming,23:44,Akali,0,4,1
2023-07-09,PCS PCS 2023 Summer,13.12,Loss,Blue,Frank Esports,24:19,Tristana,0,5,2
2023-07-08,PCS PCS 2023 Summer,13.12,Loss,Blue,HELL PIGS,38:41,LeBlanc,4,3,2
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,24:21,K'Sante,2,4,1
2023-07-02,PCS PCS 2023 Summer,13.12,Loss,Red,West Point Esports Philippines,24:04,K'Sante,0,4,2
2023-07-01,PCS PCS 2023 Summer,13.12,Loss,Red,Impunity,26:00,Sylas,3,6,1
2023-06-30,PCS PCS 2023 Summer,13.12,Loss,Blue,Beyond Gaming,23:54,Jayce,2,5,0
2023-03-11,PCS PCS 2023 Spring,13.4,Loss,Blue,Frank Esports,28:11,Yone,1,9,1
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Red,Deep Cross Gaming,25:45,Sylas,1,6,6
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Red,J Team,29:24,LeBlanc,2,4,4
2023-03-05,PCS PCS 2023 Spring,13.4,Loss,Red,PSG Talon,33:02,Vex,3,6,5
2023-03-04,PCS PCS 2023 Spring,13.4,Loss,Blue,CTBC Flying Oyster,26:55,Lee Sin,2,4,5
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,Impunity,25:30,Jayce,2,2,3
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Red,SEM9 WPE,23:29,Sylas,7,0,8
2023-02-25,PCS PCS 2023 Spring,13.3,Win,Blue,HELL PIGS,31:20,Gangplank,4,3,9
2023-02-24,PCS PCS 2023 Spring,13.3,Loss,Red,Beyond Gaming,32:48,Jayce,2,1,0
2023-02-19,PCS PCS 2023 Spring,13.3,Loss,Red,Deep Cross Gaming,29:59,Ryze,1,6,3
2023-02-18,PCS PCS 2023 Spring,13.3,Loss,Red,Frank Esports,25:42,Tristana,1,3,1
2023-02-17,PCS PCS 2023 Spring,13.3,Loss,Red,HELL PIGS,41:56,Lee Sin,3,4,5
2023-02-12,PCS PCS 2023 Spring,13.1,Loss,Blue,CTBC Flying Oyster,24:13,Ryze,1,4,1
2023-02-11,PCS PCS 2023 Spring,13.1,Loss,Red,Beyond Gaming,27:04,Syndra,2,7,0
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Blue,PSG Talon,24:35,Diana,1,4,3
2023-02-05,PCS PCS 2023 Spring,13.1,Win,Red,SEM9 WPE,37:29,Ryze,6,1,10
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Blue,J Team,26:46,Ryze,1,5,2
2023-02-03,PCS PCS 2023 Spring,13.1,Loss,Blue,Impunity,26:57,Kassadin,6,1,2
